Frequence (Hz),Module (Ohm),Phase (deg)
723.97,200.99,-60.16
737.45,196.78,-59.46
751.19,192.66,-58.73
765.19,188.61,-57.98
779.44,184.64,-57.21
793.96,180.75,-56.41
808.75,176.94,-55.59
823.82,173.21,-54.74
839.17,169.56,-53.86
854.80,165.99,-52.95
870.72,162.49,-52.02
886.94,159.08,-51.05
903.47,155.74,-50.05
920.30,152.48,-49.02
937.44,149.31,-47.95
954.90,146.22,-46.85
972.69,143.20,-45.71
990.81,140.28,-44.53
1009.27,137.44,-43.31
1028.07,134.68,-42.05
1047.23,132.01,-40.75
1066.73,129.43,-39.41
1086.61,126.94,-38.02
1106.85,124.55,-36.59
1127.47,122.25,-35.12
1148.47,120.05,-33.59
1169.87,117.95,-32.02
1191.66,115.95,-30.41
1213.86,114.05,-28.74
1236.47,112.27,-27.03
1259.51,110.59,-25.28
1282.97,109.03,-23.48
1306.87,107.58,-21.64
1331.22,106.25,-19.75
1356.02,105.05,-17.83
1381.28,103.96,-15.87
1407.01,103.01,-13.88
1433.22,102.18,-11.86
1459.92,101.48,-9.81
1487.12,100.92,-7.74
1514.82,100.49,-5.65
1543.04,100.19,-3.54
1571.78,100.03,-1.43
1601.06,100.01,0.68
1630.89,100.12,2.80
1661.27,100.37,4.90
1692.22,100.75,7.00
1723.74,101.27,9.08
1755.86,101.92,11.13
1788.57,102.70,13.17
1821.89,103.61,15.17
1855.83,104.65,17.14
1890.40,105.81,19.08
1925.61,107.10,20.98
1961.49,108.50,22.83
1998.03,110.02,24.65
2035.25,111.66,26.42
2073.16,113.41,28.14
2111.78,115.26,29.82
2151.12,117.23,31.46
2191.20,119.29,33.04
2232.02,121.46,34.58
2273.60,123.72,36.07
2315.95,126.08,37.52
2359.10,128.54,38.93
2403.04,131.09,40.28
2447.81,133.72,41.60
2493.41,136.45,42.87
2539.86,139.26,44.10
2587.17,142.16,45.30
2635.37,145.14,46.45
2684.46,148.20,47.57
2734.47,151.35,48.65
2785.41,154.58,49.69
2837.30,157.89,50.70
2890.16,161.27,51.68
2944.00,164.74,52.63
2998.84,168.29,53.54
3054.71,171.91,54.43
3111.62,175.61,55.29
3169.58,179.39,56.12
3228.63,183.26,56.93
3288.77,187.19,57.71
